Unnamed: 0,Longitude,Latitude,dist,bp,C14Age,C14SD,calCurves,resOffsets,resErrors,sim0,sim1
    1,-61.9574,-10.9557,  0.0, 5781, 5070,   60,shcal20,    0,    0, 5800, 5800
    2,-61.8788,-10.6987,29.6982965882679, 4399, 3990,   70,shcal20,    0,    0, 5800, 5800
    3,-61.5795,-11.2134,50.1719366756394, 4364, 3970,   70,shcal20,    0,    0, 5800, 5800
    4,-61.9285,-10.8993,6.99285822159429, 4075, 3760,   70,shcal20,    0,    0, 5800, 5800
    5,-42.3636,-22.7853,2459.64113470738, 3020, 2920,   70,shcal20,    0,    0, 2560, 1090
    6,-48.2772,-13.9506,1523.37955761984, 2949, 2860,   90,shcal20,    0,    0, 3640,    0
    7,-48.5534,-5.1164,1611.85370029102, 2417, 2430,   20,shcal20,    0,    0, 3550, 4030
    8,-50.5414,-5.8059,1379.87344471433, 2413, 2410,   40,shcal20,    0,    0, 3850, 4090
    9,-51.993,-21.511,1579.5535695121, 2233, 2240,   40,shcal20,    0,    0, 3730, 2020
   10,-34.9973,-8.0387,2976.7482661973, 2090, 2130,  400,shcal20,    0,    0, 1480,    0
   11,-54.4603,-25.2054,1764.40262206863, 1919, 2010,   75,shcal20,    0,    0, 3280, 2110
   12,-55.91,-27.31,1917.96287452585, 1770, 1880,  170,shcal20,    0,    0, 2920, 1870
   13,-37.9295,-12.4038,2623.76621814795, 1771, 1880,   60,shcal20,    0,    0, 2050,    0
   14,-49.6,-23.583,1915.73543129561, 1757, 1870,  100,shcal20,    0,    0, 3340, 1000
   15,-57.004,-27.689,1923.46252170037, 1747, 1860,   50,shcal20,    0,    0, 2860,    0
   16,-49.9235,-4.4351,1510.13099169882, 1709, 1830,   30,shcal20,    0,    0, 3760, 3970
   17,-55.0456,-16.3861,958.940629277375, 1679, 1810,   60,shcal20,    0,    0, 4510,    0
   18,-53.555,-29.659,2246.83054262265, 1674, 1800,  100,shcal20,    0,    0, 2470, 1540
   19,-42.4667,-8.7974,2150.59554536, 1550, 1690,  110,shcal20,    0,    0, 2620,    0
   20,-63.85,-20.41,1065.62160243226, 1535, 1680,   90,shcal20,    0,    0,    0,    0
   21,-64.43,-19.62,994.746243152392, 1528, 1675,   80,shcal20,    0,    0,    0,    0
   22,-50.489,-5.8766,1381.83968431977, 1521, 1670,   80,shcal20,    0,    0, 3850, 4090
   23,-50.45,-5.84,1387.45739040431, 1521, 1670,   80,shcal20,    0,    0, 3850, 4090
   24,-43.5789,-23.0206,2364.82903294292, 1521, 1650,  170,shcal20,    0,    0, 2710, 1120
   25,-54.3595,-24.7803,1727.87339352404, 1470, 1625,   60,shcal20,    0,    0, 3340, 2110
   26,-53.73,-27.17,1991.12227368352, 1430, 1570,  100,shcal20,    0,    0, 2920, 1840
   27,-54.4839,-25.2553,1768.17542846037, 1416, 1565,   70,shcal20,    0,    0, 3280, 2110
   28,-50.4945,-5.8227,1383.79252733046, 1400, 1560,   40,shcal20,    0,    0, 3850, 4090
   29,-39.0235,-7.3569,2551.03730556183, 1373, 1530,   50,shcal20,    0,    0, 2080,    0
   30,-55.014,-16.3788,961.11134209827, 1370, 1520,   60,shcal20,    0,    0, 4510,    0
   31,-52.2897,-23.5848,1733.39237176375, 1341, 1490,   45,shcal20,    0,    0, 3430, 2020
   32,-53.6,-29.48,2226.97606749582, 1338, 1475,   80,shcal20,    0,    0, 2560, 1600
   33,-54.4437,-25.1797,1762.67557816646, 1260, 1395,   60,shcal20,    0,    0, 3280, 2110
   34,-51.62,-20.93,1561.76214219567, 1237, 1380,   70,shcal20,    0,    0, 3760,    0
   35,-52.908,-23.363,1675.63601224872, 1232, 1380,  150,shcal20,    0,    0, 3520, 2110
