,growth,emigration,model,score
11,0.025,0.2,forest,1559.0079252881017
5,0.02,0.3,forest,1624.5040246447395
0,0.02,0.2,null,1668.8333345874107
7,0.02,0.35,forest,1696.439192774857
13,0.025,0.25,forest,1701.7802251708677
21,0.030000000000000002,0.2,forest,1760.7020153781054
15,0.025,0.3,forest,1790.6032078118499
23,0.030000000000000002,0.25,forest,1829.794744912838
31,0.035,0.2,forest,1846.7792205246685
17,0.025,0.35,forest,1881.9784406479873
25,0.030000000000000002,0.3,forest,1898.710938812611
2,0.02,0.25,null,1902.5226922679778
33,0.035,0.25,forest,1907.9899709292674
41,0.04000000000000001,0.2,forest,1929.650469947916
27,0.030000000000000002,0.35,forest,1957.1358484189764
35,0.035,0.3,forest,1968.3013706529512
43,0.04000000000000001,0.25,forest,1979.6633499579332
10,0.025,0.2,null,1993.5151352810428
37,0.035,0.35,forest,2088.4388466810633
45,0.04000000000000001,0.3,forest,2093.1481221415006
4,0.02,0.3,null,2117.12615002865
47,0.04000000000000001,0.35,forest,2124.4008708339393
12,0.025,0.25,null,2235.068509742653
1,0.02,0.2,forest,2281.8604397873823
20,0.030000000000000002,0.2,null,2287.827459946769
6,0.02,0.35,null,2316.9033737390178
3,0.02,0.25,forest,2434.0893711338263
14,0.025,0.3,null,2449.9010239246454
8,0.02,0.39999999999999997,null,2495.2140459558045
30,0.035,0.2,null,2502.327057501218
22,0.030000000000000002,0.25,null,2504.995581805458
16,0.025,0.35,null,2631.1547459808016
24,0.030000000000000002,0.3,null,2686.8279599718485
40,0.04000000000000001,0.2,null,2693.0558147987986
32,0.035,0.25,null,2712.1968058224525
9,0.02,0.39999999999999997,forest,2742.8659965444904
18,0.025,0.39999999999999997,null,2780.943190183328
26,0.030000000000000002,0.35,null,2851.3692585578333
42,0.04000000000000001,0.25,null,2872.166740247471
34,0.035,0.3,null,2886.272476882737
19,0.025,0.39999999999999997,forest,2938.611938483882
28,0.030000000000000002,0.39999999999999997,null,2993.7750551905333
36,0.035,0.35,null,3024.3723762576374
44,0.04000000000000001,0.3,null,3027.6108054354
38,0.035,0.39999999999999997,null,3083.1542115002762
46,0.04000000000000001,0.35,null,3105.4260968896433
48,0.04000000000000001,0.39999999999999997,null,3127.6835223878097
29,0.030000000000000002,0.39999999999999997,forest,3165.3661123162356
39,0.035,0.39999999999999997,forest,3219.9932259245516
49,0.04000000000000001,0.39999999999999997,forest,3229.2687059146997
