"","growth","displacement","cost","score"
"26",0.02,40,2,1531.86256011062
"56",0.02,45,3,1578.45347296504
"54",0.035,40,3,1581.29229538511
"27",0.025,40,2,1583.87908612696
"55",0.04,40,3,1593.60350034867
"28",0.03,40,2,1628.66107801785
"57",0.025,45,3,1638.48369727349
"58",0.03,45,3,1661.95191845119
"31",0.02,45,2,1666.08692957423
"61",0.02,50,3,1667.03544465457
"29",0.035,40,2,1669.85617553341
"85",0.04,45,4,1670.21647356271
"87",0.025,50,4,1686.74335267446
"59",0.035,45,3,1688.22126032315
"30",0.04,40,2,1699.77434656297
"60",0.04,45,3,1715.84916561836
"88",0.03,50,4,1727.49900286444
"91",0.02,55,4,1730.0538685393
"32",0.025,45,2,1732.71944153156
"117",0.025,55,5,1734.9486546276
"89",0.035,50,4,1747.16900993048
"62",0.025,50,3,1749.10034897324
"118",0.03,55,5,1754.56247915691
"145",0.04,55,6,1756.98921060761
"121",0.02,60,5,1758.14423876386
"144",0.035,55,6,1758.66957172752
"147",0.025,60,6,1761.50842012529
"90",0.04,50,4,1761.87538801029
"119",0.035,55,5,1779.1214402038
"92",0.025,55,4,1779.19844633958
"174",0.035,60,7,1782.35260134742
"173",0.03,60,7,1787.04452318514
"175",0.04,60,7,1793.33204322964
"33",0.03,45,2,1795.60756178796
"148",0.03,60,6,1799.15984814343
"120",0.04,55,5,1805.73961923585
"63",0.03,50,3,1808.82449360311
"122",0.025,60,5,1810.87270363085
"66",0.02,55,3,1811.66292142503
"36",0.02,50,2,1815.46970830487
"96",0.02,60,4,1826.52218928731
"149",0.035,60,6,1836.27757027858
"93",0.03,55,4,1836.50727109564
"34",0.035,45,2,1840.50630760328
"150",0.04,60,6,1850.3093476037
"64",0.035,50,3,1851.74522112132
"123",0.03,60,5,1867.1124424745
"35",0.04,45,2,1872.3863631369
"94",0.035,55,4,1877.85795051795
"65",0.04,50,3,1882.34086245998
"1",0.02,40,1,1894.69655015357
"67",0.025,55,3,1901.80516866616
"95",0.04,55,4,1907.40670363777
"124",0.035,60,5,1907.69050788172
"37",0.025,50,2,1909.79959961813
"97",0.025,60,4,1913.04728136684
"125",0.04,60,5,1936.68927550177
"71",0.02,60,3,1940.8258022516
"68",0.03,55,3,1951.48882578874
"98",0.03,60,4,1973.8294443031
"38",0.03,50,2,1974.9454237415
"41",0.02,55,2,1977.98668875257
"69",0.035,55,3,1981.6742601756
"2",0.025,40,1,1995.54567736498
"70",0.04,55,3,2012.33939705912
"99",0.035,60,4,2016.7266718285
"72",0.025,60,3,2018.16300990297
"39",0.035,50,2,2020.48736565039
"100",0.04,60,4,2033.26583630451
"40",0.04,50,2,2052.42837796805
"3",0.03,40,1,2063.62582956737
"42",0.025,55,2,2072.55132060608
"73",0.03,60,3,2080.38501903507
"6",0.02,45,1,2106.42010906411
"4",0.035,40,1,2110.61862999502
"74",0.035,60,3,2123.79217992764
"46",0.02,60,2,2125.7153241223
"43",0.03,55,2,2136.64147378885
"5",0.04,40,1,2143.32327301463
"75",0.04,60,3,2154.20119151147
"44",0.035,55,2,2180.98808403263
"7",0.025,45,1,2202.31356378862
"45",0.04,55,2,2211.89992926259
"47",0.025,60,2,2217.73554270721
"8",0.03,45,1,2266.28950926076
"48",0.03,60,2,2279.46578419965
"11",0.02,50,1,2285.85960225498
"9",0.035,45,1,2310.16030428045
"49",0.035,60,2,2321.93519287312
"10",0.04,45,1,2340.57050268018
"50",0.04,60,2,2351.43511580379
"12",0.025,50,1,2375.58730819769
"13",0.03,50,1,2435.09390424614
"16",0.02,55,1,2437.83174598321
"14",0.035,50,1,2475.76083648306
"15",0.04,50,1,2503.89069449737
"17",0.025,55,1,2521.46244756262
"21",0.02,60,1,2567.38193235062
"18",0.03,55,1,2576.73545611441
"19",0.035,55,1,2614.43346971116
"20",0.04,55,1,2640.47692162305
"22",0.025,60,1,2645.3733503884
"23",0.03,60,1,2696.80770553735
"24",0.035,60,1,2731.84260000046
"25",0.04,60,1,2756.02657717248
"51",0.02,40,3,Inf
"52",0.025,40,3,Inf
"53",0.03,40,3,Inf
"76",0.02,40,4,Inf
"77",0.025,40,4,Inf
"78",0.03,40,4,Inf
"79",0.035,40,4,Inf
"80",0.04,40,4,Inf
"81",0.02,45,4,Inf
"82",0.025,45,4,Inf
"83",0.03,45,4,Inf
"84",0.035,45,4,Inf
"86",0.02,50,4,Inf
"101",0.02,40,5,Inf
"102",0.025,40,5,Inf
"103",0.03,40,5,Inf
"104",0.035,40,5,Inf
"105",0.04,40,5,Inf
"106",0.02,45,5,Inf
"107",0.025,45,5,Inf
"108",0.03,45,5,Inf
