,growth,emigration,model,score
11,0.025,0.2,forest,1539.7992149050547
5,0.02,0.3,forest,1609.4140778286499
0,0.02,0.2,null,1659.506937006472
7,0.02,0.35,forest,1685.7384461106808
13,0.025,0.25,forest,1689.8239488955262
21,0.030000000000000002,0.2,forest,1749.7658787491494
15,0.025,0.3,forest,1783.0467878959562
23,0.030000000000000002,0.25,forest,1823.8545224740203
31,0.035,0.2,forest,1840.8938046503388
17,0.025,0.35,forest,1878.8429554020288
2,0.02,0.25,null,1892.8222457626744
25,0.030000000000000002,0.3,forest,1897.0066936711987
33,0.035,0.25,forest,1906.9745399017086
41,0.04000000000000001,0.2,forest,1927.937879726706
27,0.030000000000000002,0.35,forest,1958.8930281751818
35,0.035,0.3,forest,1970.7046289827092
43,0.04000000000000001,0.25,forest,1982.1025820661587
10,0.025,0.2,null,1983.7912379269337
37,0.035,0.35,forest,2065.9897069897893
45,0.04000000000000001,0.3,forest,2070.7500366499366
47,0.04000000000000001,0.35,forest,2102.309059106201
4,0.02,0.3,null,2107.3847248137627
12,0.025,0.25,null,2224.8293223331793
1,0.02,0.2,forest,2251.9100337269247
20,0.030000000000000002,0.2,null,2278.0002135585883
6,0.02,0.35,null,2306.748349071902
3,0.02,0.25,forest,2399.0387241559897
14,0.025,0.3,null,2439.63989367505
8,0.02,0.39999999999999997,null,2485.0104899446874
30,0.035,0.2,null,2492.1526242794007
22,0.030000000000000002,0.25,null,2494.8320313930685
16,0.025,0.35,null,2620.989157200419
24,0.030000000000000002,0.3,null,2676.633292736191
40,0.04000000000000001,0.2,null,2682.884812830942
32,0.035,0.25,null,2701.9787243845994
9,0.02,0.39999999999999997,forest,2731.2194849553925
18,0.025,0.39999999999999997,null,2770.4205652045157
26,0.030000000000000002,0.35,null,2840.8723155948974
42,0.04000000000000001,0.25,null,2861.6293506568145
34,0.035,0.3,null,2875.7867736616995
19,0.025,0.39999999999999997,forest,2939.34110388706
28,0.030000000000000002,0.39999999999999997,null,2983.3312778693407
36,0.035,0.35,null,3014.251437708827
44,0.04000000000000001,0.3,null,3017.06271154668
38,0.035,0.39999999999999997,null,3072.579354856745
46,0.04000000000000001,0.35,null,3094.8194026687784
48,0.04000000000000001,0.39999999999999997,null,3117.1525641373587
29,0.030000000000000002,0.39999999999999997,forest,3120.4188220493734
39,0.035,0.39999999999999997,forest,3174.359364501757
49,0.04000000000000001,0.39999999999999997,forest,3183.767795395889
