"","x","y","bp","dist"
"1",-61.9574,-10.9557,5781,0
"2",-61.9574,-10.9557,4709,0
"3",-61.8788,-10.6987,4399,29.6982965882679
"4",-61.5795,-11.2134,4364,50.1719366756394
"5",-61.5795,-11.2134,4211,50.1719366756394
"6",-61.9285,-10.8993,4075,6.99285822159429
"7",-42.3636,-22.7853,3020,2459.64113470738
"8",-48.2772,-13.9506,2949,1523.37955761984
"9",-42.3636,-22.7853,2617,2459.64113470738
"10",-48.5534,-5.1164,2417,1611.85370029102
"11",-50.5414,-5.8059,2413,1379.87344471433
"12",-61.9285,-10.8993,2282,6.99285822159429
"13",-51.993,-21.511,2233,1579.5535695121
"14",-42.3636,-22.7853,2143,2459.64113470738
"15",-48.2772,-13.9506,2119,1523.37955761984
"16",-34.9973,-8.0387,2090,2976.7482661973
"17",-54.4603,-25.2054,1919,1764.40262206863
"18",-55.91,-27.31,1770,1917.96287452585
"19",-37.9295,-12.4038,1771,2623.76621814795
"20",-49.6,-23.583,1757,1915.73543129561
"21",-57.004,-27.689,1747,1923.46252170037
"22",-49.9235,-4.4351,1709,1510.13099169882
"23",-55.0456,-16.3861,1679,958.940629277375
"24",-53.555,-29.659,1674,2246.83054262265
"25",-50.5414,-5.8059,1649,1379.87344471433
"26",-42.3636,-22.7853,1607,2459.64113470738
"27",-55.0456,-16.3861,1559,958.940629277375
"28",-42.4667,-8.7974,1550,2150.59554536
"29",-63.85,-20.41,1535,1065.62160243226
"30",-64.43,-19.62,1528,994.746243152392
"31",-50.489,-5.8766,1521,1381.83968431977
"32",-50.45,-5.84,1521,1387.45739040431
"33",-43.5789,-23.0206,1521,2364.82903294292
"34",-54.3595,-24.7803,1470,1727.87339352404
"35",-53.73,-27.17,1430,1991.12227368352
"36",-54.4839,-25.2553,1416,1768.17542846037
"37",-50.489,-5.8766,1417,1381.83968431977
"38",-50.4945,-5.8227,1400,1383.79252733046
"39",-50.4945,-5.8227,1378,1383.79252733046
"40",-39.0235,-7.3569,1373,2551.03730556183
"41",-55.014,-16.3788,1370,961.11134209827
"42",-48.2772,-13.9506,1356,1523.37955761984
"43",-43.5789,-23.0206,959,2364.82903294292
"44",-52.2897,-23.5848,1341,1733.39237176375
"45",-53.6,-29.48,1338,2226.97606749582
"46",-54.4437,-25.1797,1260,1762.67557816646
"47",-51.62,-20.93,1237,1561.76214219567
"48",-52.908,-23.363,1232,1675.63601224872
"49",-52.0188,-21.417,1246,1570.20627911116
"50",-50.5465,-5.7781,1231,1380.67062382681
"51",-50.516,-5.763,1217,1384.43829623236
"52",-48.2772,-13.9506,1146,1523.37955761984
"53",-56.9055,-5.1735,1131,847.784094755736
"54",-50.516,-5.763,1136,1384.43829623236
"55",-56.9055,-5.1735,1127,847.784094755736
"56",-56.615,-27.637,1123,1929.32741255661
"57",-38.9999,-7.4922,1129,2550.86081363005
"58",-53.17,-29.836,1122,2280.34195873749
"59",-56.9055,-5.1735,1119,847.784094755736
"60",-61.8191,-10.7251,1120,29.6530753093914
"61",-50.555,-5.772,1120,1380.10721223103
"62",-56.9055,-5.1735,1114,847.784094755736
"63",-54.4885,-25.2885,1105,1771.21327539067
"64",-45.1,-2.63,1102,2076.91326136206
"65",-49.0426,-5.1732,1094,1559.9582753176
"66",-48.2772,-13.9506,1088,1523.37955761984
"67",-55.05,-27.817,1090,2001.33829806802
"68",-64.7167,-8.8863,1087,379.400242263173
"69",-50.5021,-5.8202,1069,1383.14636344444
"70",-49.0371,-4.9159,1078,1572.73945872307
"71",-59.5,-8.56,1075,378.017456212679
"72",-56.9055,-5.1735,1048,847.784094755736
"73",-45.4062,-2.2889,1048,2064.34894467837
"74",-56.9055,-5.1735,1034,847.784094755736
"75",-49.6,-23.583,1063,1915.73543129561
"76",-56.9055,-5.1735,1021,847.784094755736
"77",-51.059,-6.5294,1035,1294.93926650304
"78",-51.0735,-6.4899,1023,1295.1756009593
"79",-43.5789,-23.0206,650,2364.82903294292
"80",-50.516,-5.763,1019,1384.43829623236
"81",-45.4062,-2.2889,1013,2064.34894467837
"82",-56.9055,-5.1735,1010,847.784094755736
"83",-53.6,-29.48,1018,2226.97606749582
"84",-45.474,-2.3866,1010,2052.58386347465
"85",-51.0735,-6.4899,1010,1295.1756009593
"86",-36.81,-6.13,1017,2818.16699619294
"87",-51.05,-22.767,1002,1747.3490337669
"88",-45.3867,-2.3069,977,2065.31126834726
"89",-49.9045,-6.5119,981,1414.0154625963
"90",-64.7167,-8.8863,971,379.400242263173
"91",-54.2154,-16.2185,962,1019.9999787037
"92",-54.9133,-16.5375,952,980.390742012679
"93",-64.7167,-8.8863,943,379.400242263173
"94",-53.433,-27.133,930,2001.16866545261
"95",-50.083,-29.767,932,2419.59570840114
"96",-52.6019,-23.3249,924,1691.10878712193
"97",-48.2772,-13.9506,916,1523.37955761984
"98",-50.5021,-5.8202,924,1383.14636344444
"99",-50.502,-5.767,924,1385.65239539704
"100",-50.4945,-5.8227,924,1383.79252733046
"101",-40.84,-20.98,909,2514.03118348567
"102",-49.417,-23.167,884,1897.16030574975
"103",-38.9999,-7.4922,862,2550.86081363005
"104",-58.425,-33.426,884,2514.436810223
"105",-50.511,-5.764,862,1384.89202461727
"106",-51.689,-20.779,864,1545.07567084525
"107",-48,-10.78,862,1526.03402801296
"108",-49.7069,-3.8487,855,1563.40948724531
"109",-50.516,-5.763,856,1384.43829623236
"110",-52.5624,-3.7858,855,1305.04462378088
"111",-49.9045,-6.5119,851,1414.0154625963
"112",-51.0735,-6.4899,854,1295.1756009593
"113",-48.7254,-1.539,849,1795.41034759707
"114",-48.7305,-1.7421,844,1781.8399985281
"115",-56.2823,-20.5678,839,1224.78462658079
"116",-43.6,-23.0167,838,2362.75671715986
"117",-50.516,-5.763,824,1384.43829623236
"118",-50.5203,-5.7893,824,1382.76884110992
"119",-50.5253,-5.7834,824,1382.54515729087
"120",-54.2154,-16.2185,809,1019.9999787037
"121",-50.4945,-5.8227,805,1383.79252733046
"122",-49.9045,-6.5119,805,1414.0154625963
"123",-49.35,-23.283,806,1910.96803410263
"124",-45.4056,-2.3747,786,2059.90940550701
"125",-50.45,-5.84,792,1387.45739040431
"126",-49.1972,-28.7917,350,2379.91358063622
"127",-51.059,-6.5294,781,1294.93926650304
"128",-54.901,-27.692,792,1994.25814710874
"129",-48.2772,-13.9506,780,1523.37955761984
"130",-51.05,-22.767,788,1747.3490337669
"131",-53.332,-29.417,785,2231.65855401029
"132",-51.75,-27.498,765,2119.93152429313
"133",-55.66,-19.83,757,1191.69544317385
"134",-52.222,-31.847,753,2520.624566856
