"","x","y","bp","dist"
"1",-61.9574,-10.9557,5781,0
"2",-61.8788,-10.6987,4399,29.6982965882679
"3",-61.5795,-11.2134,4364,50.1719366756394
"4",-61.9285,-10.8993,4075,6.99285822159429
"5",-42.3636,-22.7853,3020,2459.64113470738
"6",-48.2772,-13.9506,2949,1523.37955761984
"7",-48.5534,-5.1164,2417,1611.85370029102
"8",-50.5414,-5.8059,2413,1379.87344471433
"9",-51.993,-21.511,2233,1579.5535695121
"10",-34.9973,-8.0387,2090,2976.7482661973
"11",-54.4603,-25.2054,1919,1764.40262206863
"12",-55.91,-27.31,1770,1917.96287452585
"13",-37.9295,-12.4038,1771,2623.76621814795
"14",-49.6,-23.583,1757,1915.73543129561
"15",-57.004,-27.689,1747,1923.46252170037
"16",-49.9235,-4.4351,1709,1510.13099169882
"17",-55.0456,-16.3861,1679,958.940629277375
"18",-53.555,-29.659,1674,2246.83054262265
"19",-42.4667,-8.7974,1550,2150.59554536
"20",-63.85,-20.41,1535,1065.62160243226
"21",-64.43,-19.62,1528,994.746243152392
"22",-50.489,-5.8766,1521,1381.83968431977
"23",-50.45,-5.84,1521,1387.45739040431
"24",-43.5789,-23.0206,1521,2364.82903294292
"25",-54.3595,-24.7803,1470,1727.87339352404
"26",-53.73,-27.17,1430,1991.12227368352
"27",-54.4839,-25.2553,1416,1768.17542846037
"28",-50.4945,-5.8227,1400,1383.79252733046
"29",-39.0235,-7.3569,1373,2551.03730556183
"30",-55.014,-16.3788,1370,961.11134209827
"31",-52.2897,-23.5848,1341,1733.39237176375
"32",-53.6,-29.48,1338,2226.97606749582
"33",-54.4437,-25.1797,1260,1762.67557816646
"34",-51.62,-20.93,1237,1561.76214219567
"35",-52.908,-23.363,1232,1675.63601224872
"36",-52.0188,-21.417,1246,1570.20627911116
"37",-50.5465,-5.7781,1231,1380.67062382681
"38",-50.516,-5.763,1217,1384.43829623236
"39",-56.9055,-5.1735,1131,847.784094755736
"40",-56.615,-27.637,1123,1929.32741255661
"41",-38.9999,-7.4922,1129,2550.86081363005
"42",-53.17,-29.836,1122,2280.34195873749
"43",-61.8191,-10.7251,1120,29.6530753093914
"44",-50.555,-5.772,1120,1380.10721223103
"45",-54.4885,-25.2885,1105,1771.21327539067
"46",-45.1,-2.63,1102,2076.91326136206
"47",-49.0426,-5.1732,1094,1559.9582753176
"48",-55.05,-27.817,1090,2001.33829806802
"49",-64.7167,-8.8863,1087,379.400242263173
"50",-50.5021,-5.8202,1069,1383.14636344444
"51",-49.0371,-4.9159,1078,1572.73945872307
"52",-59.5,-8.56,1075,378.017456212679
"53",-45.4062,-2.2889,1048,2064.34894467837
"54",-51.059,-6.5294,1035,1294.93926650304
"55",-51.0735,-6.4899,1023,1295.1756009593
"56",-45.474,-2.3866,1010,2052.58386347465
"57",-36.81,-6.13,1017,2818.16699619294
"58",-51.05,-22.767,1002,1747.3490337669
"59",-45.3867,-2.3069,977,2065.31126834726
"60",-49.9045,-6.5119,981,1414.0154625963
"61",-54.2154,-16.2185,962,1019.9999787037
"62",-54.9133,-16.5375,952,980.390742012679
"63",-53.433,-27.133,930,2001.16866545261
"64",-50.083,-29.767,932,2419.59570840114
"65",-52.6019,-23.3249,924,1691.10878712193
"66",-50.502,-5.767,924,1385.65239539704
"67",-40.84,-20.98,909,2514.03118348567
"68",-49.417,-23.167,884,1897.16030574975
"69",-58.425,-33.426,884,2514.436810223
"70",-50.511,-5.764,862,1384.89202461727
"71",-51.689,-20.779,864,1545.07567084525
"72",-48,-10.78,862,1526.03402801296
"73",-49.7069,-3.8487,855,1563.40948724531
"74",-52.5624,-3.7858,855,1305.04462378088
"75",-48.7254,-1.539,849,1795.41034759707
"76",-48.7305,-1.7421,844,1781.8399985281
"77",-56.2823,-20.5678,839,1224.78462658079
"78",-43.6,-23.0167,838,2362.75671715986
"79",-50.5203,-5.7893,824,1382.76884110992
"80",-50.5253,-5.7834,824,1382.54515729087
"81",-49.35,-23.283,806,1910.96803410263
"82",-45.4056,-2.3747,786,2059.90940550701
"83",-54.901,-27.692,792,1994.25814710874
"84",-53.332,-29.417,785,2231.65855401029
"85",-51.75,-27.498,765,2119.93152429313
"86",-55.66,-19.83,757,1191.69544317385
"87",-52.222,-31.847,753,2520.624566856
"88",-50.53,-5.86,718,1378.48883977061
"89",-38.7875,-8.8129,702,2551.57796512301
"90",-38.7122,-8.9019,717,2558.56916361598
"91",-56.73,-27.52,700,1913.51803195867
"92",-54.25,-29.55,694,2208.70210364801
"93",-43.2333,-22.8,697,2382.78576246375
"94",-48.77,-28.43,692,2373.31671733336
"95",-34.99,-8.03,697,2977.68457646743
"96",-52.89,-14.52,678,1060.49327576763
"97",-53.249,-29.761,671,2269.56031133997
"98",-44.24,-15.14,669,1975.80178710619
"99",-53.417,-27.2,672,2008.46399447346
"100",-49.9922,-22.9076,660,1834.70339670688
"101",-54.2534,-24.0765,661,1665.598912989
"102",-48.6066,-1.8896,643,1783.73898130766
"103",-50.518,-5.77,643,1383.90782416333
"104",-46.04,-20.97,645,2030.05366082134
"105",-54.2306,-24.6797,612,1724.54399742478
"106",-53.644,-29.678,610,2245.18241543445
"107",-58.568,-34.209,611,2598.26575504378
"108",-52.33,-3.54,614,1342.12751080882
"109",-38.23,-11.32,615,2591.50344323561
"110",-54.07,-27.3,605,1988.89808958989
"111",-44.2645,-2.4996,605,2166.3723569679
"112",-45.076,-23.4448,602,2261.98717480951
"113",-42.1582,-20.7346,604,2377.37334580037
"114",-52.21,-3.24,600,1373.22725486362
"115",-38.6405,-7.2534,603,2594.72235963729
"116",-50.5353,-5.82,603,1379.82405880648
"117",-45.3701,-4.2532,592,1973.63302056153
"118",-50.5379,-5.8135,601,1379.86784351789
"119",-54.4815,-25.2799,594,1770.69873768642
"120",-53.083,-27.117,586,2016.25082765619
"121",-52,-16,591,1213.56813124127
