Site,Code,C14Age,C14SD,LabNumber,Material,Tradition,Sub,Latitude,Longitude,SiteDescription,Comments,Reference,FullReference,Exclude,calCurves,resOffsets,resErrors,Period,L1,L2,Name,Cultural Affiliation
Urupá,RO-JI-15,5070,60,,,Proto-Tupiguarani,,-10.9557,-61.9574,,The dates are extremely early. The pottery with clear Tupiguarani traits shown in Miller (2009) comes from sites with much later dates.,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",TRUE,shcal20,0,0,,TP,,Urupá (RO-JI-15),Proto-Tupiguarani
Urupá,,4230,100,,,Proto-Tupiguarani,,-10.9557,-61.9574,,The dates are extremely early. The pottery with clear Tupiguarani traits shown in Miller (2009) comes from sites with much later dates.,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",TRUE,shcal20,0,0,,TP,,Urupá,Proto-Tupiguarani
Nova Vida,RO-JI-17,3990,70,,,Proto-Tupiguarani,,-10.6987,-61.8788,,The dates are extremely early. The pottery with clear Tupiguarani traits shown in Miller (2009) comes from sites with much later dates.,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",TRUE,shcal20,0,0,,TP,,Nova Vida (RO-JI-17),Proto-Tupiguarani
Encontro,RO-MA-05,3970,70,Beta-230198,Charcoal,Proto-Tupiguarani,,-11.2134,-61.5795,Small patches of ADE over an area of 1.2 ha.,"The dates, coming from the base of the ADE, are very early, but not considered problematic by Zimpel Neto (2008). Corrugated ceramics. Almeida (2013) questions the association with Tupi.",Zimpel Neto 2008,"Zimpel Neto, Carlos Augusto. 2008. “Na Direção Das Periferias Extremas Da Amazônia: Arqueologia Na Bacia Do Rio Jiparaná, Rondônia.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Encontro (RO-MA-05),Proto-Tupiguarani
Encontro,RO-MA-05,3850,80,Beta-230197,Charcoal,Proto-Tupiguarani,,-11.2134,-61.5795,Small patches of ADE over an area of 1.2 ha.,"The dates, coming from the base of the ADE, are very early, but not considered problematic by Zimpel Neto (2008). Corrugated ceramics. Almeida (2013) questions the association with Tupi.",Zimpel Neto 2008,"Zimpel Neto, Carlos Augusto. 2008. “Na Direção Das Periferias Extremas Da Amazônia: Arqueologia Na Bacia Do Rio Jiparaná, Rondônia.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Encontro (RO-MA-05),Proto-Tupiguarani
Ipiranga,RO-JI-23a,3760,70,,,Proto-Tupiguarani,,-10.8993,-61.9285,,The dates are extremely early. The pottery with clear Tupiguarani traits shown in Miller (2009) comes from sites with much later dates.,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",TRUE,shcal20,0,0,,TP,,Ipiranga (RO-JI-23a),Proto-Tupiguarani
Bela Vista,,2430,20,,,Tupiguarani,,-5.1164,-48.5534,,"The date is divergent from other Eastern Amazonian Tupiguarani, but not from other Tupiguarani dates in the Xingu-Tocantins interfluve.",Almeida 2008,"Almeida, Fernando O. 2008. “O Complexo Tupi Da Amazônia Oriental.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Bela Vista,Tupiguarani
Abraham,PA-AT-298,2410,40,Beta-227301,Charcoal,Tupiguarani,,-5.8059,-50.5414,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Abraham (PA-AT-298),Tupiguarani
Ipiranga,RO-JI-23b,2340,70,,,Proto-Tupiguarani,,-10.8993,-61.9285,,The pottery with clear Tupiguarani traits shown in Miller (2009) comes from sites with much later dates.,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",TRUE,shcal20,0,0,,TP,,Ipiranga (RO-JI-23b),Proto-Tupiguarani
Alto Paraná 14,MS-PR-42,2240,40,Gif-11227,,Tupiguarani,,-21.511,-51.993,,"Not included in Bonomo et al. (2015). The style is not considered specifically Guarani, but the site is nevertheless Tupiguarani.",Kashimoto and Martins 2008,"Kashimoto, Emilia M, and Gilson R Martins. 2008. “A Problemática Arqueológica Da Tradição Cerâmica Tupiguarani No Mato Grosso Do Sul.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania A Lima, 149–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,Alto Paraná 14 (MS-PR-42),Tupiguarani
