"","x","y","bp","dist"
"1",-61.9574,-10.9557,5781,0
"2",-42.3636,-22.7853,3020,2459.64113470738
"3",-48.2772,-13.9506,2949,1523.37955761984
"4",-48.5534,-5.1164,2417,1611.85370029102
"5",-50.5414,-5.8059,2413,1379.87344471433
"6",-51.993,-21.511,2233,1579.5535695121
"7",-34.9973,-8.0387,2090,2976.7482661973
"8",-54.4603,-25.2054,1919,1764.40262206863
"9",-55.91,-27.31,1770,1917.96287452585
"10",-37.9295,-12.4038,1771,2623.76621814795
"11",-49.6,-23.583,1757,1915.73543129561
"12",-57.004,-27.689,1747,1923.46252170037
"13",-49.9235,-4.4351,1709,1510.13099169882
"14",-55.0456,-16.3861,1679,958.940629277375
"15",-53.555,-29.659,1674,2246.83054262265
"16",-42.4667,-8.7974,1550,2150.59554536
"17",-63.85,-20.41,1535,1065.62160243226
"18",-64.43,-19.62,1528,994.746243152392
"19",-43.5789,-23.0206,1521,2364.82903294292
"20",-53.73,-27.17,1430,1991.12227368352
"21",-39.0235,-7.3569,1373,2551.03730556183
"22",-52.2897,-23.5848,1341,1733.39237176375
"23",-56.9055,-5.1735,1131,847.784094755736
"24",-45.1,-2.63,1102,2076.91326136206
"25",-55.05,-27.817,1090,2001.33829806802
"26",-64.7167,-8.8863,1087,379.400242263173
"27",-59.5,-8.56,1075,378.017456212679
"28",-36.81,-6.13,1017,2818.16699619294
"29",-51.05,-22.767,1002,1747.3490337669
"30",-49.9045,-6.5119,981,1414.0154625963
"31",-50.083,-29.767,932,2419.59570840114
"32",-40.84,-20.98,909,2514.03118348567
"33",-58.425,-33.426,884,2514.436810223
"34",-48,-10.78,862,1526.03402801296
"35",-52.5624,-3.7858,855,1305.04462378088
"36",-48.7254,-1.539,849,1795.41034759707
"37",-56.2823,-20.5678,839,1224.78462658079
"38",-51.75,-27.498,765,2119.93152429313
"39",-55.66,-19.83,757,1191.69544317385
"40",-52.222,-31.847,753,2520.624566856
"41",-38.7122,-8.9019,717,2558.56916361598
"42",-48.77,-28.43,692,2373.31671733336
"43",-52.89,-14.52,678,1060.49327576763
"44",-44.24,-15.14,669,1975.80178710619
"45",-54.2534,-24.0765,661,1665.598912989
"46",-46.04,-20.97,645,2030.05366082134
"47",-38.23,-11.32,615,2591.50344323561
"48",-45.076,-23.4448,602,2261.98717480951
"49",-42.1582,-20.7346,604,2377.37334580037
"50",-45.3701,-4.2532,592,1973.63302056153
"51",-52,-16,591,1213.56813124127
"52",-51.1632,-30.2653,570,2412.30697743599
"53",-55.3896,-21.7743,570,1387.03001315563
"54",-58.082,-28.319,545,1964.28051396111
"55",-52.1195,-29.2885,533,2272.62081979281
"56",-41.25,-13.7625,529,2272.54761131132
"57",-48.57,-27.67,532,2320.08593684219
"58",-52.8533,-22.6119,521,1612.99144402476
"59",-49.3842,-25.4756,518,2082.89294045088
"60",-57.8212,-9.8132,516,470.233882787876
"61",-57.8212,-9.8132,516,470.233882787876
"62",-38.09,-7.83,476,2643.35743078486
"63",-51.0433,-26.2388,507,2043.97030906448
"64",-43.55,-12.06,462,2011.50837369882
"65",-52.892,-30.845,465,2392.94404700452
"66",-58.6984,-34.306,459,2607.19100299169
"67",-50.5648,-24.0218,454,1883.24394863934
"68",-47.3844,-23.4517,403,2074.15865045336
"69",-49.0757,-20.6365,400,1745.3502215587
"70",-40.5667,-7.5333,327,2380.0364286052
"71",-47.47,-5.52,316,1704.97587083765
"72",-48.47,-23.59,306,2000.08698420207
"73",-43.6133,-21.7785,194,2293.1123852665
"74",-52.2481,-4.7173,191,1273.33506039818
"75",-53.33,-23.667,103,1678.02408343608
